Numéro,titre,type,Date,statut,VISA
23,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la loi n° 2004-204 du 9 mars 2004 portant adaptation de la justice aux évolutions de la criminalité
24,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la loi n° 2010-1 du 4 janvier 2010 relative à la protection du secret des sources des journalistes
25,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
26,2022-1021,Requête en nullité d'un acte d'investigation déposée par un journaliste n'ayant ni la qualité de partie à la procédure ni celle de témoin assisté,28 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
27,2022-1020,Accès des tiers au dossier de la procédure d'instruction dans le cadre d'une demande de restitution d'un bien saisi,28 octobre 2022,Conformité,la Constitution
28,2022-1020,Accès des tiers au dossier de la procédure d'instruction dans le cadre d'une demande de restitution d'un bien saisi,28 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
29,2022-1020,Accès des tiers au dossier de la procédure d'instruction dans le cadre d'une demande de restitution d'un bien saisi,28 octobre 2022,Conformité,le code de procédure pénale
30,2022-1020,Accès des tiers au dossier de la procédure d'instruction dans le cadre d'une demande de restitution d'un bien saisi,28 octobre 2022,Conformité,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
31,2022-1020,Accès des tiers au dossier de la procédure d'instruction dans le cadre d'une demande de restitution d'un bien saisi,28 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
32,2022-1019,Composition des instances disciplinaires de l'ordre des experts-comptables,27 octobre 2022,Conformité,la Constitution
33,2022-1019,Composition des instances disciplinaires de l'ordre des experts-comptables,27 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
34,2022-1019,Composition des instances disciplinaires de l'ordre des experts-comptables,27 octobre 2022,Conformité,l'ordonnance n° 45-2138 du 19 septembre 1945 portant institution de l'ordre des experts-comptables et réglementant le titre et la profession d'expert-comptable
35,2022-1019,Composition des instances disciplinaires de l'ordre des experts-comptables,27 octobre 2022,Conformité,la loi n° 94-679 du 8 août 1994 portant diverses dispositions d'ordre économique et financier
37,2022-1019,Composition des instances disciplinaires de l'ordre des experts-comptables,27 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
38,2022-1017/1018,Révocation du sursis à exécution d'une sanction disciplinaire II,21 octobre 2022,Conformité,la Constitution
39,2022-1017/1018,Révocation du sursis à exécution d'une sanction disciplinaire II,21 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
40,2022-1017/1018,Révocation du sursis à exécution d'une sanction disciplinaire II,21 octobre 2022,Conformité,le code rural et de la pêche maritime
42,2022-1017/1018,Révocation du sursis à exécution d'une sanction disciplinaire II,21 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
43,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,la Constitution
44,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
45,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,le code de la consommation
46,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,le code de justice administrative
47,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,la loi n° 2020-1508 du 3 décembre 2020 portant diverses dispositions d'adaptation au droit de l'Union européenne en matière économique et financière
48,2022-1016,Déréférencement d'une interface en ligne,21 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
49,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,la Constitution
50,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
51,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,le code des assurances
52,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,le code monétaire et financier
53,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,la loi n° 2021-402 du 8 avril 2021 relative à la réforme du courtage de l'assurance et du courtage en opérations de banque et en services de paiement
54,2022-1015,Obligation d'adhésion à une association professionnelle agréée des courtiers d'assurance et intermédiaires en opérations de banque et services de pai,21 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
55,2022-1014,Précompte mobilier,14 octobre 2022,Conformité,la Constitution
56,2022-1014,Précompte mobilier,14 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
58,2022-1014,Précompte mobilier,14 octobre 2022,Conformité,le code général des impôts
59,2022-1014,Précompte mobilier,14 octobre 2022,Conformité,la loi n° 99-1172 du 30 décembre 1999 de finances pour 2000
61,2022-1014,Précompte mobilier,14 octobre 2022,Conformité,le règlement du 4 f�vrier 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
62,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,la Constitution
63,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
64,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,le code général des impôts
65,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,la loi n° 2019-1479 du 28 décembre 2019 de finances pour 2020
66,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,la loi n° 2020-1721 du 29 décembre 2020 de finances pour 2021
67,2022-1013,Modalités de compensation de la suppression de la taxe d'habitation pour certains établissements publics de coopération intercommunale à fiscalité propre,14 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
68,2022-1012,Calcul de la dotation d'équilibre versée à la métropole du Grand Paris,06 octobre 2022,Conformité - réserve,la Constitution
69,2022-1012,Calcul de la dotation d'équilibre versée à la métropole du Grand Paris,06 octobre 2022,Conformité - réserve,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
70,2022-1012,Calcul de la dotation d'équilibre versée à la métropole du Grand Paris,06 octobre 2022,Conformité - réserve,la loi n° 2015-991 du 7 août 2015 portant nouvelle organisation territoriale de la République
71,2022-1012,Calcul de la dotation d'équilibre versée à la métropole du Grand Paris,06 octobre 2022,Conformité - réserve,la loi n° 2020-1721 du 29 décembre 2020 de finances pour 2021
72,2022-1012,Calcul de la dotation d'équilibre versée à la métropole du Grand Paris,06 octobre 2022,Conformité - réserve,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
73,2022-1011,Avantage sans contrepartie ou manifestement disproportionné,06 octobre 2022,Conformité,la Constitution
74,2022-1011,Avantage sans contrepartie ou manifestement disproportionné,06 octobre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
75,2022-1011,Avantage sans contrepartie ou manifestement disproportionné,06 octobre 2022,Conformité,le code de commerce
77,2022-1011,Avantage sans contrepartie ou manifestement disproportionné,06 octobre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
78,2022-1010,Droit de visite des agents des douanes,22 septembre 2022,Non conformité totale - effet différé,la Constitution
79,2022-1010,Droit de visite des agents des douanes,22 septembre 2022,Non conformité totale - effet différé,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
80,2022-1010,Droit de visite des agents des douanes,22 septembre 2022,Non conformité totale - effet différé,le code des douanes
82,2022-1010,Droit de visite des agents des douanes,22 septembre 2022,Non conformité totale - effet différé,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
83,2022-1009,Amende pour défaut de déclaration de la TVA exigible au titre d'une opération auto-liquidée,22 septembre 2022,Conformité,la Constitution
84,2022-1009,Amende pour défaut de déclaration de la TVA exigible au titre d'une opération auto-liquidée,22 septembre 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
85,2022-1009,Amende pour défaut de déclaration de la TVA exigible au titre d'une opération auto-liquidée,22 septembre 2022,Conformité,le code général des impôts
86,2022-1009,Amende pour défaut de déclaration de la TVA exigible au titre d'une opération auto-liquidée,22 septembre 2022,Conformité,la loi n° 2021-1900 du 30 décembre 2021 de finances pour 2022
87,2022-1009,Amende pour défaut de déclaration de la TVA exigible au titre d'une opération auto-liquidée,22 septembre 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
88,2022-1008,Incompatibilité de la qualité de mandataire judiciaire avec la profession d'avocat,05 août 2022,Conformité,la Constitution
89,2022-1008,Incompatibilité de la qualité de mandataire judiciaire avec la profession d'avocat,05 août 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
90,2022-1008,Incompatibilité de la qualité de mandataire judiciaire avec la profession d'avocat,05 août 2022,Conformité,le code de commerce
91,2022-1008,Incompatibilité de la qualité de mandataire judiciaire avec la profession d'avocat,05 août 2022,Conformité,la loi n° 2016-1547 du 18 novembre 2016 de modernisation de la justice du XXIe siècle
92,2022-1008,Incompatibilité de la qualité de mandataire judiciaire avec la profession d'avocat,05 août 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
93,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,la Constitution
94,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
95,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,le code général de la fonction publique
96,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,la loi n° 84-16 du 11 janvier 1984 portant dispositions statutaires relatives à la fonction publique de l'État
97,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,la loi n° 2019-828 du 6 août 2019 de transformation de la fonction publique
98,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,l'ordonnance n° 2021-1574 du 24 novembre 2021 portant partie législative du code général de la fonction publique
99,2022-1007,Assistance d'un fonctionnaire pour l'exercice d'un recours administratif,05 août 2022,Non conformité totale,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
104,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,la Constitution
105,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
106,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,la loi n° 84-53 du 26 janvier 1984 portant dispositions statutaires relatives à la fonction publique territoriale
107,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,la loi n° 2001-2 du 3 janvier 2001 relative à la résorption de l'emploi précaire et à la modernisation du recrutement dans la fonction publique ainsi qu'au temps de travail dans la fonction publique territoriale
108,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,la loi n° 2019-828 du 6 août 2019 de transformation de la fonction publique
109,2022-1006,Suppression des régimes de temps de travail dérogeant à la durée de droit commun dans la fonction publique territoriale,29 juillet 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
110,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,la Constitution
111,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
112,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,le code civil
113,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,le code de la santé publique
114,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,la loi n° 2007-308 du 5 mars 2007 portant réforme de la protection juridique des majeurs
115,2022-1005,Interdiction de recevoir des libéralités pour les membres des professions de santé,29 juillet 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
116,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,la Constitution
117,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
118,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,la loi du 1er juillet 1901 relative au contrat d'association
119,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,la loi du 9 décembre 1905 concernant la séparation des Églises et de l'État
120,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,la loi du 2 janvier 1907 concernant l'exercice public des cultes
121,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,la loi n° 2021-1109 du 24 août 2021 confortant le respect des principes de la République
122,2022-1004,Régime des associations exerçant des activités cultuelles,22 juillet 2022,Conformité - réserve,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
123,2022-1003,Accès à l'assistance médicale à la procréation,08 juillet 2022,Conformité,la Constitution
124,2022-1003,Accès à l'assistance médicale à la procréation,08 juillet 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
125,2022-1003,Accès à l'assistance médicale à la procréation,08 juillet 2022,Conformité,le code de la santé publique
126,2022-1003,Accès à l'assistance médicale à la procréation,08 juillet 2022,Conformité,la loi n° 2021-1017 du 2 août 2021 relative à la bioéthique
127,2022-1003,Accès à l'assistance médicale à la procréation,08 juillet 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
128,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,la Constitution
129,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
130,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,le code pénal
131,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,le code de procédure pénale
132,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,la loi n° 2013-1117 du 6 décembre 2013 relative à la lutte contre la fraude fiscale et la grande délinquance économique et financière
133,2022-1002,Saisie spéciale de sommes d'argent sur un compte bancaire,08 juillet 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
134,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,la Constitution
135,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
136,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,le code général des impôts
137,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,la loi n° 2005-1720 du 30 décembre 2005 de finances rectificative pour 2005
138,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,la décision du Conseil constitutionnel n° 2012-267 QPC du 20 juillet 2012
140,2022-1001,Amende fiscale contre les tiers déclarants II,01 juillet 2022,Non lieu à statuer,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
141,2022-999,Impossibilité pour le témoin assisté d'interjeter appel de la décision de refus du juge d'instruction de constater la prescription de l'action publique,17 juin 2022,Non conformité totale - effet différé,la Constitution
142,2022-999,Impossibilité pour le témoin assisté d'interjeter appel de la décision de refus du juge d'instruction de constater la prescription de l'action publique,17 juin 2022,Non conformité totale - effet différé,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
143,2022-999,Impossibilité pour le témoin assisté d'interjeter appel de la décision de refus du juge d'instruction de constater la prescription de l'action publique,17 juin 2022,Non conformité totale - effet différé,le code de procédure pénale
144,2022-999,Impossibilité pour le témoin assisté d'interjeter appel de la décision de refus du juge d'instruction de constater la prescription de l'action publique,17 juin 2022,Non conformité totale - effet différé,la loi n° 2007-291 du 5 mars 2007 tendant à renforcer l'équilibre de la procédure pénale
146,2022-999,Impossibilité pour le témoin assisté d'interjeter appel de la décision de refus du juge d'instruction de constater la prescription de l'action publique,17 juin 2022,Non conformité totale - effet différé,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
147,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,la Constitution
148,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
149,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,le code de procédure pénale
150,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,la loi n° 2004-204 du 9 mars 2004 portant adaptation de la justice aux évolutions de la criminalité
152,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,la loi n° 2022-299 du 2 mars 2022 visant à combattre le harcèlement scolaire
153,2022-1000,Réquisition de données informatiques dans le cadre d'une information judiciaire,17 juin 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
154,2022-998,Interdiction de la publicité en faveur des centres de santé,03 juin 2022,Conformité,la Constitution
155,2022-998,Interdiction de la publicité en faveur des centres de santé,03 juin 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
156,2022-998,Interdiction de la publicité en faveur des centres de santé,03 juin 2022,Conformité,le code de la santé publique
158,2022-998,Interdiction de la publicité en faveur des centres de santé,03 juin 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
159,2022-996/997,Requête en nullité du mandat d'arrêt délivré par un juge d'instruction français contre une personne placée sous écrou extraditionnel à l'étranger,03 juin 2022,Conformité - réserve,la Constitution
160,2022-996/997,Requête en nullité du mandat d'arrêt délivré par un juge d'instruction français contre une personne placée sous écrou extraditionnel à l'étranger,03 juin 2022,Conformité - réserve,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
161,2022-996/997,Requête en nullité du mandat d'arrêt délivré par un juge d'instruction français contre une personne placée sous écrou extraditionnel à l'étranger,03 juin 2022,Conformité - réserve,le code de procédure pénale
162,2022-996/997,Requête en nullité du mandat d'arrêt délivré par un juge d'instruction français contre une personne placée sous écrou extraditionnel à l'étranger,03 juin 2022,Conformité - réserve,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
164,2022-996/997,Requête en nullité du mandat d'arrêt délivré par un juge d'instruction français contre une personne placée sous écrou extraditionnel à l'étranger,03 juin 2022,Conformité - réserve,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
165,2022-995,Abandon de terrains à une commune,25 mai 2022,Conformité,la Constitution
166,2022-995,Abandon de terrains à une commune,25 mai 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
167,2022-995,Abandon de terrains à une commune,25 mai 2022,Conformité,le code général des impôts
168,2022-995,Abandon de terrains à une commune,25 mai 2022,Conformité,la loi n° 2013-428 du 27 mai 2013 modernisant le régime des sections de commune
169,2022-995,Abandon de terrains à une commune,25 mai 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
170,2022-994,Délivrance d'un permis de communiquer aux seuls avocats nominativement désignés par la personne mise en examen,20 mai 2022,Conformité,la Constitution
171,2022-994,Délivrance d'un permis de communiquer aux seuls avocats nominativement désignés par la personne mise en examen,20 mai 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
172,2022-994,Délivrance d'un permis de communiquer aux seuls avocats nominativement désignés par la personne mise en examen,20 mai 2022,Conformité,le code de procédure pénale
173,2022-994,Délivrance d'un permis de communiquer aux seuls avocats nominativement désignés par la personne mise en examen,20 mai 2022,Conformité,la loi n° 2004-204 du 9 mars 2004 portant adaptation de la justice aux évolutions de la criminalité
175,2022-994,Délivrance d'un permis de communiquer aux seuls avocats nominativement désignés par la personne mise en examen,20 mai 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
176,2022-993,Réquisition de données informatiques dans le cadre d'une enquête de flagrance,20 mai 2022,Conformité,la Constitution
177,2022-993,Réquisition de données informatiques dans le cadre d'une enquête de flagrance,20 mai 2022,Conformité,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
178,2022-993,Réquisition de données informatiques dans le cadre d'une enquête de flagrance,20 mai 2022,Conformité,le code de procédure pénale
179,2022-993,Réquisition de données informatiques dans le cadre d'une enquête de flagrance,20 mai 2022,Conformité,la loi n° 2019-222 du 23 mars 2019 de programmation 2018-2022 et de réforme pour la justice
180,2022-993,Réquisition de données informatiques dans le cadre d'une enquête de flagrance,20 mai 2022,Conformité,le règlement du 4 février 2010 sur la procédure suivie devant le Conseil constitutionnel pour les questions prioritaires de constitutionnalité
181,2022-992,Droit de suite attaché au privilège spécial du Trésor pour le recouvrement de la taxe foncière,13 mai 2022,Non conformité totale,la Constitution
182,2022-992,Droit de suite attaché au privilège spécial du Trésor pour le recouvrement de la taxe foncière,13 mai 2022,Non conformité totale,l'ordonnance n° 58-1067 du 7 novembre 1958 portant loi organique sur le Conseil constitutionnel
183,2022-992,Droit de suite attaché au privilège spécial du Trésor pour le recouvrement de la taxe foncière,13 mai 2022,Non conformité totale,le code général des impôts
