CaseID,Date,Arbitrator_1,Arbitrator_2,Arbitrator_3,Arbitrator_4,Status,OldID,Case_Number,Region_(Speculative),Modif_And_Date,Sector,ClaimantCouns,RespondentCouns,Replaced
0,2016,,,SACHS KLAUS | Germany | Respondent(s) | Active,,Closed,,20965/MHM,,,,,White & Case,
0,Aug-17,FERNANDEZ TRINDADE MARCELO | Brazil | Respondent(s) | Active,FAORO ANDRÉ LEAL | Brazil | Co-arbitrators | Active,NUNES PINTO JOSÉ EMILIO | Brazil | Claimant(s) | Active,,Closed,Old363,22324/ASM/JPA,Spanish/Spanish/Lusophone,,,,,SANTOS BARBOSA MARCELO | Brazil | Co-arbitrators | Replaced
0,Mar-17,RUIZ VÍCTOR | Mexico | Claimant(s) | Active,OGARRIO RAMÍREZ ALEJANDRO | Mexico | Respondent(s) | Active,GONZÁLEZ DE CASTILLA EMILIO | Mexico | Co-arbitrators | Active,,Closed,Old176,22200/ASM,Spanish,,,,,ZAMORA ETCHARREN RODRIGO | Mexico | Co-arbitrators | Replaced
0,Dec-18,LEBOULANGER PHILIPPE | France | Co-arbitrators | Active,MANZONI CHARLES PETER | United Kingdom (UK) | Claimant(s) | Active,AMR MOHAMED SAMEH | Egypt | Respondent(s) | Active,,Pending,Old906,23311 (c. 23323) AYZ,MENA,,,,,
0,Sep-16,SUTCLIFFE JONATHAN | United Kingdom (UK) | Court | Active,MAALOUF ELIE | Lebanon | Claimant(s) | Active,AMRALLAH BORHAN | Egypt; France | Respondent(s) | Active,,Closed,Old29,21658 ZF,?,,,,,
0,Aug-16,LAZATIN VICTOR | Philippines | Co-arbitrators | Active,PARLADE CUSTODIO | Philippines | Respondent(s) | Active,AUTEA ARTHUR | Philippines | Claimant(s) | Active,,Closed,Old22,21879/CYK,Asia,,,,,
0,Dec-18,BEISTEINER LISA | Austria | Court | Active,BREKOULAKIS STAVROS | Greece | Claimant(s) | Active,BAIAS FLAVIUS | Romania | Respondent(s) | Active,,Pending,Old930,23652/MHM,Eastern Europe,,,,,
0,Oct-16,FERNÁNDEZ-ARMESTO JUAN | Spain | Co-arbitrators | Active,GALÍNDEZ VALERIA | Argentina; Brazil | Respondent(s) | Active,BATISTA MARTINS PEDRO | Brazil | Claimant(s) | Active,,Closed,Old34,21644/ASM,Spanish,,,,,
0,Dec-19,CHANG SEUNG WHA | South Korea | Claimant(s) | Active,HUGHES BENJAMIN | United States of America (USA) | Respondent(s) | Active,BOO LAWRENCE | Singapore | Co-arbitrators | Active,,Pending,Old1323,24232/PTA,Eastern Asia,,,,,
0,Jun-18,HAUGENEDER FLORIAN | Austria | Court | Active,MOINA DAMJAN | Slovenia | Claimant(s) | Active,BUCK WILLIAM EDWARD | United Kingdom (UK) | Respondent(s) | Active,,Closed,Old785,23251/MHM,Eastern Europe,,,,,
0,Nov-16,AKINCI ZIYA | Turkey | Claimant(s) | Active,VOSER NATHALIE | Switzerland | Co-arbitrators | Active,BÜHLER MICHAEL W. | Germany | Respondent(s) | Active,,Closed,Old87,21617/ZF,?,,,,,
0,Aug-16,CAIVANO ROQUE | Argentina | Co-arbitrators | Active,GARCÍA CALDERÓN MOREYRA GONZALO | Peru | Claimant(s) | Active,BULLARD GONZÁLEZ ALFREDO | Peru | Respondent(s) | Active,,Closed,Old20,21722/ASM,Spanish,,,,,
0,Jul-16,BAIZEAU DOMITILLE | France; New Zealand | Co-arbitrators | Active,GIRSBERGER DANIEL | Switzerland | Claimant(s) | Active,CALAME THIERRY | Switzerland | Respondent(s) | Active,,Closed,Old9,,,,,,,
0,,JARVIN SIGVARD | Sweden | Co-arbitrators | Active,,,,Closed,,22415/ZF/AYZ,,,,,,
0,,TJITTES RIEMERT PIETER JAN LUCRIS | Netherlands | Appointing Authority | Active,STOFFEL-MUNCK PHILIPE | France; Switzerland | Claimant(s) | Active,CHERNYKH YULIYA | Ukraine | Court | Active,,Pending,Old1335,24320/MHM/HBH,,,,,,
0,Apr-19,HAFEZ KARIM | Egypt | Respondent(s) | Active,DEBBAS ACHKAR NADINE | France; Lebanon; United States of America (USA) | Court | Active,COLLINS MICHAEL GEOFFREY | United Kingdom (UK) | Claimant(s) | Active,,Pending,Old1090,23883/TO,Africa?,,,,,
0,Aug-16,MCGOLDRICK JOHN LEWIS | United States of America (USA) | Claimant(s) | Active,ROBERTSON JAMES | United States of America (USA) | Respondent(s) | Active,DAVIDSON ROBERT B. | United States of America (USA) | Co-arbitrators | Active,,Closed,Old25,21698/TO,Africa?,,,,,
0,Feb-18,WYSOK VIOLETTA | Poland | Court | Active,KARAGUSSOV FARKHAD | Kazakhstan | Claimant(s) | Active,DAVYDENKO DMITRY | Russia | Court | Active,,Pending,Old612,22861/MHM,Eastern Europe,,,,,
0,,WIWEN-NILSSON TORE | Sweden | Co-arbitrators | Active,SZUMANSKI ANDRZEJ PAWEL | Poland | Respondent(s) | Active,DE LY FILIP | Belgium | Claimant(s) | Active,,Pending,Old1333,24242/MHM/HBH,,,,,,
0,,JARVIN SIGVARD | Sweden | Co-arbitrators | Active,DIRIS DAVID | Belgium | Respondent(s) | Active,DERAINS YVES | France | Claimant(s) | Active,,Closed,Old3,23633/FS,,,,,,
0,Jul-16,JARROSSON CHARLES | France | Respondent(s) | Active,CANIVET GUY | France | Co-arbitrators | Active,DOMINGO MARC | France | Claimant(s) | Active,,Closed,Old8,,,,,,,
0,Jul-19,AUDIT MATTHIAS | France | Co-arbitrators | Active,MAYER PIERRE | France | Claimant(s) | Active,FADLALLAH IBRAHIM | France; Lebanon | Respondent(s) | Active,,Pending,Old1207,23749/DDA,Africa,,,,,
0,Mar-17,"KERR JOHN J., JR. | United States of America (USA); Ireland | Respondent(s) | Active",BERMANN GEORGE A. | United States of America (USA) | Parties | Active,FELLAS JOHN | United Kingdom (UK) | Claimant(s) | Active,,Pending,Old195,21906/RD,US,,,,,
0,Oct-16,GEISINGER ELLIOTT | Switzerland; United States of America (USA) | Court | Active,WETMORE TODD | Canada | Respondent(s) | Active,FERRIER DIDIER | France | Claimant(s) | Active,,Closed,Old47,21610/DDA,Africa,,,,,
0,Nov-16,SEREC FERNANDO | Brazil | Court | Active,FERRO MARCELO ROBERTO | Brazil | Claimant(s) | Active,FORGIONI PAULA ANDREA | Brazil; Italy | Respondent(s) | Active,,Closed,Old58,21716/ASM,Spanish,,,,,
0,Feb-19,NEUMANN REINHARD | Germany | Co-arbitrators | Active,ONG COLIN | Brunei | Claimant(s) | Active,FREEMAN DOUGLAS | United States of America (USA) | Respondent(s) | Active,,Closed,Old1035,23549/PTA,Hong Kong,,,,,
0,Sep-17,GAITSKELL ROBERT | United Kingdom (UK) | Co-arbitrators | Active,WHITE ANDREW | United Kingdom (UK) | Claimant(s) | Active,FUMAGALLI LUIGI | United Kingdom (UK) | Respondent(s) | Active,,Pending,Old437,21785,0,,,,,
0,Feb-19,VOSER NATHALIE | Switzerland | Co-arbitrators | Active,VAN BAREN WILLEM H. | Netherlands | Claimant(s) | Active,GERSTENMAIER KLAUS-ALBRECHT | Germany | Respondent(s) | Active,,Closed,Old1031,23452/FS,German?,,,,,
0,,HARRIS CHRISTOPHER | United Kingdom (UK) | Co-arbitrators | Active,ALNOWAISER KHALID | Saudi Arabia | Court | Active,GHARAVI HAMID | France; Iran | Claimant(s) | Active,,Pending,Old1357,24316/GR,,,,,,
0,,,,,,,,18666/FM/MHM/GFG,"Case between italian parties, over a SPA, see here",,,,,
0,Mar-18,CREMADES BERNARDO M. | Spain | Respondent(s) | Active,DERAINS YVES | France | Claimant(s) | Active,GIRSBERGER DANIEL | Switzerland | Court | Active,,Closed,Old670,22903/JPA,Spanish,,,,,
0,May-19,JUDGE JOHN ALFRED MURRAY | Canada | Co-arbitrators | Active,KING DONOVAN BRIAN | United States of America (USA) | Claimant(s) | Active,GOLDSTEIN MARC | United States of America (USA) | Respondent(s) | Active,,Pending,Old1144,24064/MK,US,,,,,
0,May-19,BENSAUDE DENIS JAN | France | Court | Active,HOLLANDER PASCAL | Belgium | Claimant(s) | Active,GRUTTERS LEO | Netherlands | Respondent(s) | Active,,Pending,Old1156,24145 MHM,Eastern Europe,,,,,
0,Nov-16,REICHART PETER | Germany | Co-arbitrators | Active,HOCHSTRASSER DANIEL | Switzerland | Claimant(s) | Active,HABEGGER PHILIPP | Switzerland | Respondent(s) | Active,,Closed,Old60,21764/MHM,Eastern Europe,,,,,
0,Nov-18,GARAUD JEAN-YVES | France | Parties | Active,CARRALE PATRICK | France | Claimant(s) | Active,JARROSSON CHARLES | France | Respondent(s) | Active,,Closed,Old848,23074/DDA,Africa,,,,,
0,Oct-16,NESBITT SIMON | United Kingdom (UK) | Co-arbitrators | Active,DHILLON JASBIR | United Kingdom (UK) | Claimant(s) | Active,LEE MICHAEL | United Kingdom (UK) | Respondent(s) | Active,,Closed,Old40,21842/MHM,Eastern Europe,,,,,
0,Oct-16,FOYLE ANDREW | United Kingdom (UK) | Co-arbitrators | Active,REICHERT KLAUS | Ireland; Germany | Claimant(s) | Active,LEE MICHAEL | United Kingdom (UK) | Respondent(s) | Active,,Closed,Old31,21728/TO,Africa?,,,,,
0,Oct-16,ABDEL RAOUF MOHAMED | Egypt | Court | Active,AL MULLA HABIB | United Arab Emirates | Claimant(s) | Active,MACDONALD HAMISH FRASER | United Kingdom (UK) | Respondent(s) | Active,,Closed,Old43,21690/ZF,?,,,,,
0,Jun-18,SMITH GEORGE ANTHONY | United States of America (USA) | Claimant(s) | Active,VAN DEN BERG ALBERT JAN | Netherlands | Co-arbitrators | Active,MAZZA FRANCESCA | Italy | Respondent(s) | Active,,Pending,Old760,23101/MK,US,,,,,
0,Nov-16,DYBDAHL OLE KASPER | Denmark | Co-arbitrators | Active,DIRKSEN JACOB MOLLER | Denmark | Respondent(s) | Active,MORTENSEN KASPER | Denmark | Claimant(s) | Active,,Closed,Old52,21607/FS,German?,,,,,
0,Nov-18,FERREIRA LEMES SELMA | Brazil; Spain | Court | Active,DE ALMADA MIGUEL | Portugal | Court | Active,MOTA PINTO PAULO | Portugal | Court | Active,,Pending,Old887,22929 JPA,Spanish,,,,,
0,Nov-18,ARCE GARGOLLO FRANCISCO JAVIER | Mexico | Claimant(s) | Active,GÓMEZ ARNAIZ RUBÉN DARÍO | Mexico | Respondent(s) | Active,MÜRRLE ANNE MARIE | Colombia | Court | Active,,Closed,Old878,23442/JPA,Spanish,,,,,
0,Oct-16,TAVERNER MARCUS | United Kingdom (UK) | Claimant(s) | Active,CONSTABLE ADAM | United Kingdom (UK) | Respondent(s) | Active,MYERS ALLAN | Australia | Parties | Active,,Closed,Old38,21791/CYK/PTA,Asia,,,,,
0,,William W. Park,Daniel Toledano QC,Osman Berat Gürzumar,,Closed,,19322/AGF/ZF,Turkish,,,,,
0,Dec-19,SUPLICY DE FIGUEIREDO FORBES CARLOS | Brazil | Co-arbitrators | Active,HUCK HERMES MARCELO | Brazil | Claimant(s) | Active,NORTHFLEET ELLEN GRACIE | Brazil | Respondent(s) | Active,,Pending,Old1303,24334/GSS/PFF,Lusophone,,,,,
0,Aug-16,AYTAC SÜLEYMAN ZÜHTÜ | Turkey | Co-arbitrators | Active,AKINCI ZIYA | Turkey | Claimant(s) | Active,OKTAY-ÖZDEMIR SAIBE | Turkey | Respondent(s) | Active,,Closed,Old17,21567/ZF,?,,,,,
0,Nov-18,FERREIRA DE ALMEIDA CARLOS | Portugal | Co-arbitrators | Active,MENDES ARMINDO | Portugal | Claimant(s) | Active,PAZ EDUARDO | Portugal | Respondent(s) | Active,,Closed,Old884,22996 JPA,Spanish,,,,,
0,Nov-16,DOMEJ TANJA | Austria | Co-arbitrators | Active,JUHART MIHA | Slovenia | Claimant(s) | Active,PEROVIC JELENA | Serbia | Respondent(s) | Active,,Closed,Old59,21752/MHM,Eastern Europe,,,,,
0,,DIWAN RICKY | United Kingdom (UK) | Claimant(s) | Active,REICHERT KLAUS | Ireland; Germany | Co-arbitrators | Active,REES PETER | United Kingdom (UK) | Respondent(s) | Active,,Pending,Old1358,24793/PTA,,,,,,
0,Sep-17,MATRAY DIDIER | Belgium | Court | Active,SACHS KLAUS | Germany | Claimant(s) | Active,RIX BERNARD | United Kingdom (UK) | Respondent(s) | Active,,Pending,Old427,22570/FS,German?,,,,,
0,Sep-17,OBERHAMMER PAUL | Austria | Claimant(s) | Active,HAUSMANINGER CHRISTIAN | Austria | Respondent(s) | Active,SACHS KLAUS | Germany | Parties | Active,,Pending,Old392,22556/FS/ZF/AYZ,German?,,,,,
0,Aug-16,GRUDER JEFFREY | United Kingdom (UK) | Co-arbitrators | Active,FLETCHER NICHOLAS | United Kingdom (UK) | Respondent(s) | Active,SHEPPARD AUDLEY | Ireland; New Zealand | Claimant(s) | Active,,Closed,Old13,21598/TO,Africa?,,,,,
0,Feb-19,PONGRACZ IRINA ADRIANA | Romania; United States of America (USA) | Court | Active,SITARU DRAGOS ALEXANDRU | Romania | Claimant(s) | Active,SIBICEANU ADELINA | Romania | Respondent(s) | Active,,Pending,Old1034,22215 MHM,Eastern Europe,,,,,
0,Dec-18,MANTAKOU ANNA P. | Greece | Court | Active,REINER ANDREAS | Austria | Claimant(s) | Active,SIMULESCU ANDREEA | Romania | Respondent(s) | Active,,Pending,Old939,23494/MHM,Eastern Europe,,,,,
0,Aug-16,WYSS LUKAS | Switzerland | Court | Active,DEMIRKAN OKAN | Turkey | Claimant(s) | Active,TEKINALP ÜNAL | Turkey | Respondent(s) | Active,,Closed,Old18,21691/ZF,?,,,,,
0,Jan-18,CANNING DAVID JOHN | United Kingdom (UK) | Claimant(s) | Active,CORBETT EDWARD CHRISTOPHER | United Kingdom (UK) | Respondent(s) | Active,UFF JOHN | United Kingdom (UK) | Parties | Active,,Closed,Old555,22059/CYK/PTA,Asia,,,,,
0,Sep-16,BERGER KLAUS PETER | Germany | Respondent(s) | Active,VON SEGESSER GEORG | Switzerland | Co-arbitrators | Active,WALLGREN-LINDHOLM CARITA CHRISTINA HELENA | Finland | Claimant(s) | Active,,Closed,Old30,21955/GR,French?,,,,,
0,Jun-16,WILLEMS JANE | France | Court | Active,,WILLEMS JANE | France | Court | Active,,Closed,Old1,,,,,,,
0,Apr-17,WILLEMS JANE | France | Court | Active,SHEN SIBAO | China | Claimant(s) | Active,WOLFF ARTHUR | Austria | Respondent(s) | Active,,Closed,Old229,22101/GR,French?,,,,,
0,Mar-18,DE SOUSA ZANETTI CRISTIANO | Brazil | Co-arbitrators | Active,ETTORE NANNI GIOVANNI | Brazil; Italy | Claimant(s) | Active,ZANCHIM LUIZ KLEBER | Brazil | Respondent(s) | Active,,Closed,Old656,22626 JPA,Spanish,,,,,
0,Jul-16,GROZ PHILIPP | Switzerland | Court | Active,,,,Closed,Old10,,,,,,,
0,Feb-19,KONRAD CHRISTIAN WALTHER | Austria; Canada | Parties | Active,,,,Closed,Old1057,23690/DDA,Africa,,,,,
0,Apr-19,B. DAVIDSON ROBERT | United States of America (USA) | Parties | Active,,,,Pending,Old1062,23870/DDA,Africa,,,,,
0,Feb-19,CAMPELLO DE MENEZES CAIO | Brazil | Court | Active,,,,Pending,Old1063,23717 GSS,Lusophone,,,,,
0,Apr-19,REED LUCY | United States of America (USA) | Parties | Active,,,,Pending,Old1091,23098 PTA,Hong Kong,,,,,
0,Apr-19,LUCRIS TJITTES RIEMERT PIETER JAN | Netherlands | Parties | Active,,,,Closed,Old1122,23712/JPA,Spanish,,,,,
0,Apr-19,ZIEGLER PACÔME | France | Court | Active,,,,Pending,Old1125,23477/JPA,Spanish,,,,,
0,Jul-16,ORELLI MARIELLA | Switzerland | Court | Active,,,,Closed,Old12,21715/GR,French?,,,,,
0,Oct-19,DANIS MARIE DOMINIQUE ODILE | France | Court | Active,,,,Pending,Old1285,24078/GR,French?,,,,,
0,Dec-19,KIRBY JENNIFER | United Kingdom (UK); United States of America (USA) | Court | Active,,,,Closed,Old1295,24738/MK,,,,,,
0,,SMALIUKAS ANDRIUS | Lithuania | Appointing Authority | Active,,,,Closed,Old1334,24240/MHM/HBH,,,,,,
0,,DURANTE DANIEL HORST FRANCESCO | Switzerland | Parties | Active,,,,Pending,Old1354,24559/GR,,,,,,
0,Aug-16,MARTI ANDREAS | Switzerland | Parties | Active,,,,Closed,Old14,21750/FS,German?,,,,,
0,Aug-16,GUTERMAN ARNE | Belgium | Parties | Active,,,,Closed,Old15,21768/FS,German?,,,,,
0,Feb-17,MEIER ANKE | Germany | Parties | Active,,,,Closed,Old152,21882/FS,German?,,,,,
0,Aug-16,VAN LEEUWEN MELANIE | Netherlands | Court | Active,,,,Closed,Old16,21601/DDA,Africa,,,,,
0,Feb-17,CUBEROS FELIPE | Colombia | Court | Active,,,,Closed,Old166,22297 ASM,Spanish,,,,,
0,Mar-17,DUCLERCQ CAROLINE | France | Court | Active,,,,Pending,Old178,22283/ASM,Spanish,,,,,
0,Aug-16,MACDONALD HAMISH FRASER | United Kingdom (UK) | Parties | Active,,,,Closed,Old19,21705/ZF,?,,,,,
0,Jun-16,ROMBACH ANNETT | Germany | Court | Active,,,,Closed,Old2,,,,,,,
0,Aug-16,MUNOZ ALEXANDRA | France | Court | Active,,,,Closed,Old23,21623/GR,French?,,,,,
0,Aug-16,LENNARZ THOMAS | Germany | Court | Active,,,,Closed,Old24,21620/FS,German?,,,,,
0,Aug-16,KNOLL JOACHIM | Germany | Parties | Active,,,,Closed,Old26,21852/DDA,Africa,,,,,
0,May-17,RUIZ VICTOR | Mexico | Court | Active,,,,Closed,Old264,22156/ASM,Spanish,,,,,
0,Aug-16,RIHAR ALDER PETRA | Switzerland; Slovenia | Court | Active,,,,Closed,Old27,21923/FS,German?,,,,,
0,Oct-16,JAISLI KULL NADJA | Switzerland | Parties | Active,,,,Closed,Old33,21748/GR,French?,,,,,
0,Oct-16,VON DEWALL SOPHIA ELISABETH | Netherlands | Court | Active,,,,Closed,Old35,21874/FS,German?,,,,,
0,Oct-16,MENON SMITHA | Singapore | Court | Active,,,,Closed,Old36,21573/CYK/PTA,Asia,,,,,
0,Oct-16,SZUCSICH MARKO | Austria | Court | Active,,,,Closed,Old39,21733/MHM,Eastern Europe,,,,,
0,Jun-16,GABRIEL SIMON | Switzerland | Court | Active,,,,Closed,Old4,,,,,,,
0,Oct-16,KANTOR MARK | United States of America (USA) | Court | Active,,,,Closed,Old41,21730/RD,US,,,,,
0,Sep-17,BAUMANN ANTJE | Germany | Court | Active,,,,Closed,Old433,22506/FS,German?,,,,,
0,Oct-16,ZUBERBÜHLER TOBIAS | Switzerland | Court | Active,,,,Closed,Old44,22004/GR,French?,,,,,
0,Oct-17,LEBOULANGER PHILIPPE | France | Court | Active,,,,Pending,Old467,22575/DDA,Africa,,,,,
0,Oct-16,RIGOZZI ANTONIO | Switzerland | Court | Active,,,,Closed,Old48,21911/GR (c-21912/GR),French?,,,,,
0,Oct-16,NOËL ANNA | Sweden; Switzerland | Parties | Active,,,,Closed,Old49,21989/GR,French?,,,,,
0,Jun-16,MADUMERE CHIKWENDU | Nigeria | Court | Active,,,,Closed,Old5,,,,,,,
0,Oct-16,GEISINGER ELLIOT | Switzerland; United States of America (USA) | Parties | Active,,,,Closed,Old50,22067/GR,French?,,,,,
0,Nov-17,DUCLERCQ CAROLINE | France | Court | Active,,,,Closed,Old506,22596/DDA,Africa,,,,,
0,Nov-16,FLORES NANO LOURDES | Peru | Parties | Active,,,,Closed,Old51,21821/ASM,Spanish,,,,,
0,Nov-16,RIZNIK PETER | Slovenia | Court | Active,,,,Closed,Old53,21914/FS,German?,,,,,
0,Nov-16,MUIR JOHN DANIEL MURRAY | Australia | Parties | Active,,,,Closed,Old55,21738/CYK/PTA,Asia,,,,,
0,Nov-16,CASTINEIRA ELISEO | France | Parties | Active,,,,Closed,Old56,21755/DDA,Africa,,,,,
0,Nov-16,GONZÁLEZ-BUENO CARLOS | Spain | Court | Active,,,,Closed,Old57,22139/ASM,Spanish,,,,,
0,Jun-16,SACCO SABINA | Chile; El Salvador; Italy | Parties | Active,,,,Closed,Old6,,,,,,,
0,Nov-16,AZAR MANZUR CECILIA GUADALUPE | Mexico | Parties | Active,,,,Closed,Old61,21986/RD,US,,,,,
0,Feb-18,SURDEK MALGORZATA | Poland | Court | Active,,,,Closed,Old613,22455/MHM,Eastern Europe,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old63,21582/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old64,21584/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old65,21587/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old66,21588/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old67,21591/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old68,21592/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old69,21631/RD (c. 21632/RD),US,,,,,
0,Jul-16,GAITSKELL ROBERT | United Kingdom (UK); South Africa | Parties | Active,,,,Closed,Old7,,,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old70,21593/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old71,21633/RD (c. 21634/RD),US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old72,21635/RD,US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old73,"21636/RD (c. 21637/RD, 21638/RD, 21639/RD)",US,,,,,
0,Nov-16,COE JACK JACOBI (JR.) | United States of America (USA) | Court | Active,,,,Closed,Old74,21646/RD (c. 21647/RD),US,,,,,
0,Oct-18,GIOVANNI ETTORE NANNI | Brazil; Italy | Court | Active,,,,Closed,Old830,23238/GSS (EA),Lusophone,,,,,
0,Nov-18,KALDERIMIS DANIEL ROBERT | New Zealand | Court | Active,,,,Closed,Old832,23346/HTG,Singapore,,,,,
0,Nov-18,ALONSO PUIG JOSE MARIA | Spain | Court | Active,,,,Pending,Old838,23635 MHM,Eastern Europe,,,,,
0,Nov-18,TSCHANZ PIERRE-YVES | Switzerland; Ireland | Court | Active,,,,Pending,Old849,23126/DDA,Africa,,,,,
0,Jan-19,DAL MARC | Belgium | Appointing Authority | Active,,,,Pending,Old995,23384/GR,French?,,,,,
63,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
64,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
65,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
66,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
67,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
68,Nov-16,COE JACK | United States of America | Court | Active,,,,Closed,,,,,,,,
69,Nov-16,WEBER-STECHER URS | Switzerland | Court | Active,AKINCI ZIYA | Turkey | Claimant(s) | Active,,,Closed,Old76,21853/ZF,,,,,,
70,Nov-16,MEZGHANI ALI | Tunisia | Court | Active,CAPRASSE OLIVIER | Belgium | Court | Active,,,Closed,Old77,21741/GR,,,,,,
71,Nov-16,JENSEN CARSTEN | Denmark ; Canada | Parties | Active,,,,Closed,Old79,21694/RD,,,,,,
72,Nov-16,ZAMORA RODRIGO | Mexico | Co-arbitrators | Active,IRRA DE LA CRUZ RENÉ | Mexico | Respondent(s) | Active,,,Closed,Old80,21929/RD,,,,,,
73,Nov-16,JIMÉNEZ ADOLFO E. | United States of America | Co-arbitrators | Active,MESTRE JORGE ALEJANDRO | United States of America | Claimant(s) | Active,MARIGO NOIANA | Argentina | Respondent(s) | Active,,Closed,Old81,21699/RD,,,,,,
74,Nov-16,HEILBRON HILARY | United Kingdom (of Great Britain and Northern Ireland) | Parties | Active,ODITAH FIDELIS | Nigeria ; United Kingdom (of Great Britain and Northern Ireland) | Respondent(s) | Active,LANGLEY GORDON | United Kingdom (of Great Britain and Northern Ireland) | Claimant(s) | Active,,Closed,Old82,21956/TO,,,,,,
75,Nov-16,MOOLLAN SALIM | France ; Mauritius | Court | Active,,,,Closed,Old83,21766/TO,,,,,,
76,Nov-16,BERNARDINI PIERO | Italy | Co-arbitrators | Active,DRAETTA UGO | Italy | Claimant(s) | Active,CORAPI DIEGO | Italy | Respondent(s) | Active,,Closed,Old84,21898/GR,,,,,,
77,Nov-16,KRATZSCH SUSANNE | Germany | Co-arbitrators | Active,WOEHLER JUERGEN | Germany | Claimant(s) | Active,HARTUNG MARKUS | Germany | Respondent(s) | Active,,Closed,Old85,21613/FS,,,,,,
